Day,Price
20090227,4.15
20090306,4.23
20090313,3.89
20090320,3.8
20090327,4.06
20090403,3.62
20090410,3.61
20090417,3.53
20090424,3.45
20090501,3.29
20090508,3.78
20090515,4.24
20090522,3.79
20090529,3.58
20090605,3.76
20090612,3.53
20090619,4.04
20090626,3.87
20090703,3.68
20090710,3.27
20090717,3.29
20090724,3.5
20090731,3.41
20090807,3.58
20090814,3.39
20090821,3.01
20090828,2.72
20090904,2.18
20090911,2.69
20090918,3.21
20090925,3.46
20091002,3.06
20091009,3.6
20091016,3.93
20091023,4.7
20091030,4.37
20091106,4.28
20091113,3.38
20091120,3.3
20091127,3.52
20091204,4.5
20091211,5.08
20091218,5.61
20091225,5.66
20100101,5.88
20100108,6.56
20100115,5.68
20100122,5.56
20100129,5.47
20100205,5.47
20100212,5.55
20100219,5.41
20100226,4.87
20100305,4.74
20100312,4.45
20100319,4.23
20100326,4.01
20100402,3.82
20100409,4.0
20100416,4.06
20100423,3.99
20100430,4.16
20100507,3.94
20100514,4.19
20100521,4.26
20100528,4.18
20100604,4.44
20100611,4.73
20100618,5.1
20100625,4.93
20100702,4.66
20100709,4.65
20100716,4.48
20100723,4.64
20100730,4.75
20100806,4.8
20100813,4.42
20100820,4.3
20100827,3.96
20100903,3.76
20100910,3.8
20100917,4.01
20100924,4.01
20101001,3.79
20101008,3.52
20101015,3.49
20101022,3.37
20101029,3.31
20101105,3.39
20101112,3.7
20101119,3.73
20101126,3.9
20101203,4.2
20101210,4.46
20101217,4.26
20101224,4.09
20101231,4.16
20110107,4.52
20110114,4.46
20110121,4.57
20110128,4.45
20110204,4.51
20110211,4.17
20110218,3.9
20110225,3.84
20110304,3.82
20110311,3.8
20110318,3.88
20110325,4.12
20110401,4.3
20110408,4.15
20110415,4.12
20110422,4.27
20110429,4.39
20110506,4.5
20110513,4.18
20110520,4.15
20110527,4.35
20110603,4.65
20110610,4.83
20110617,4.56
20110624,4.33
20110701,4.32
20110708,4.3
20110715,4.41
20110722,4.58
20110729,4.4
20110805,4.21
20110812,4.08
20110819,4.01
20110826,4.01
20110902,4.01
20110909,3.96
20110916,3.95
20110923,3.77
20110930,3.81
20111007,3.53
20111014,3.48
20111021,3.62
20111028,3.62
20111104,3.47
20111111,3.42
20111118,3.1
20111125,2.92
20111202,3.37
20111209,3.39
20111216,3.08
20111223,3.04
20111230,3.04
20120106,2.92
20120113,2.81
20120120,2.4
20120127,2.57
20120203,2.45
20120210,2.51
20120217,2.52
20120224,2.63
20120302,2.45
20120309,2.26
20120316,2.11
20120323,2.16
20120330,2.06
20120406,1.97
20120413,1.93
20120420,1.86
20120427,2.0
20120504,2.26
20120511,2.33
20120518,2.49
20120525,2.59
20120601,2.37
20120608,2.33
20120615,2.24
20120622,2.52
20120629,2.76
20120706,2.84
20120713,2.82
20120720,2.92
20120727,3.13
20120803,3.12
20120810,2.92
20120817,2.77
20120824,2.79
20120831,2.72
20120907,2.82
20120914,2.88
20120921,2.76
20120928,2.93
20121005,3.22
20121012,3.26
20121019,3.31
20121026,3.41
20121102,3.44
20121109,3.4
20121116,3.54
20121123,3.61
20121130,3.66
20121207,3.41
20121214,3.3
20121221,3.3
20121228,3.34
20130104,3.28
20130111,3.18
20130118,3.44
20130125,3.54
20130201,3.26
20130208,3.33
20130215,3.26
20130222,3.28
20130301,3.48
20130308,3.57
20130315,3.74
20130322,3.99
20130329,4.05
20130405,3.99
20130412,4.13
20130419,4.25
20130426,4.24
20130503,4.23
20130510,3.89
20130517,3.95
20130524,4.14
20130531,4.12
20130607,3.94
20130614,3.77
20130621,3.87
20130628,3.72
20130705,3.54
20130712,3.66
20130719,3.69
20130726,3.67
20130802,3.45
20130809,3.32
20130816,3.35
20130823,3.49
20130830,3.55
20130906,3.64
20130913,3.61
20130920,3.71
20130927,3.55
20131004,3.56
20131011,3.7
20131018,3.79
20131025,3.69
20131101,3.55
20131108,3.47
20131115,3.62
20131122,3.68
20131129,3.87
20131206,3.94
20131213,4.31
20131220,4.25
20131227,4.45
20140103,4.36
20140110,4.31
20140117,4.39
20140124,5.08
20140131,5.29
20140207,6.35
20140214,6.55
20140221,6.0
20140228,5.1
20140307,6.24
20140314,4.58
20140321,4.43
20140328,4.46
20140404,4.45
20140411,4.63
20140418,4.65
20140425,4.8
20140502,4.76
20140509,4.74
20140516,4.46
20140523,4.52
20140530,4.52
20140606,4.61
20140613,4.61
20140620,4.66
20140627,4.52
20140704,4.41
20140711,4.19
20140718,4.11
20140725,3.84
20140801,3.79
20140808,3.92
20140815,3.9
20140822,3.85
20140829,4.01
20140905,3.93
20140912,3.91
20140919,3.95
20140926,3.88
20141003,4.02
20141010,3.87
20141017,3.82
20141024,3.63
20141031,3.65
20141107,3.83
20141114,4.16
20141121,4.34
20141128,4.16
20141205,3.75
20141212,3.66
20141219,3.69
20141226,2.94
20150102,3.09
20150109,3.03
20150116,3.08
20150123,2.95
20150130,2.91
20150206,2.72
20150213,2.75
20150220,2.9
20150227,3.13
20150306,3.04
20150313,2.76
20150320,2.8
20150327,2.79
20150403,2.64
20150410,2.67
20150417,2.61
20150424,2.6
20150501,2.57
20150508,2.75
20150515,2.88
20150522,2.99
20150529,2.8
20150605,2.65
20150612,2.78
20150619,2.9
20150626,2.8
20150703,2.79
20150710,2.75
20150717,2.89
20150724,2.88
20150731,2.87
20150807,2.8
20150814,2.88
20150821,2.75
20150828,2.69
20150904,2.69
20150911,2.7
20150918,2.7
20150925,2.61
20151002,2.49
20151009,2.38
20151016,2.48
20151023,2.38
20151030,2.12
20151106,2.02
20151113,2.11
20151120,2.09
20151127,2.15
20151204,2.13
20151211,1.96
20151218,1.72
20151225,1.68
20160101,2.27
20160108,2.38
20160115,2.32
20160122,2.2
20160129,2.22
20160205,2.11
20160212,2.16
20160219,1.94
20160226,1.82
20160304,1.57
20160311,1.64
20160318,1.79
20160325,1.79
20160401,1.86
20160408,1.96
20160415,1.9
20160422,1.91
20160429,1.92
20160506,1.96
20160513,2.0
20160520,1.89
20160527,1.84
20160603,2.15
20160610,2.36
20160617,2.59
20160624,2.75
20160701,2.89
20160708,2.82
20160715,2.81
20160722,2.79
20160729,2.85
20160805,2.88
20160812,2.77
20160819,2.73
20160826,2.82
20160902,2.94
20160909,2.87
20160916,3.02
20160923,3.11
20160930,3.01
20161007,2.91
20161014,3.17
20161021,3.14
20161028,2.72
20161104,2.5
20161111,2.22
20161118,2.44
20161125,2.76
20161202,3.21
20161209,3.69
20161216,3.57
20161223,3.51
20161230,3.69
20170106,3.47
20170113,3.27
20170120,3.29
20170127,3.27
20170203,3.12
20170210,3.04
20170217,2.87
20170224,2.62
20170303,2.52
20170310,2.75
20170317,2.96
20170324,2.99
20170331,3.03
20170407,3.18
20170414,3.05
20170421,3.1
20170428,3.09
20170505,3.14
20170512,3.12
20170519,3.21
20170526,3.18
20170602,3.03
20170609,2.98
20170616,3.03
20170623,2.89
20170630,3.01
20170707,2.95
20170714,2.96
20170721,3.09
20170728,2.96
20170804,2.8
20170811,2.85
20170818,2.95
20170825,2.97
20170901,2.93
20170908,2.91
20170915,2.96
20170922,3.09
20170929,2.96
20171006,2.84
20171013,2.92
20171020,2.84
20171027,2.91
20171103,2.78
20171110,3.12
20171117,3.1
20171124,3.05
20171201,2.94
20171208,2.84
20171215,2.77
20171222,2.69
20171229,3.03
20180105,5.71
20180112,3.24
20180119,4.12
20180126,3.43
20180202,3.3
20180209,2.75
20180216,2.54
20180223,2.62
20180302,2.64
20180309,2.74
20180316,2.71
20180323,2.66
20180330,2.67
20180406,2.79
20180413,2.78
20180420,2.83
20180427,2.8
20180504,2.75
20180511,2.76
20180518,2.8
20180525,2.83
20180601,2.88
20180608,2.92
20180615,2.99
20180622,2.99
20180629,2.98
20180706,2.91
20180713,2.89
20180720,2.78
20180727,2.79
20180803,2.8
20180810,2.96
20180817,3.0
20180824,3.01
20180831,2.97
20180907,2.94
20180914,2.93
20180921,3.03
20180928,3.06
20181005,3.23
20181012,3.3
20181019,3.26
20181026,3.32
20181102,3.28
20181109,3.58
20181116,4.23
20181123,4.67
20181130,4.43
20181207,4.49
20181214,4.38
20181221,3.73
20181228,3.26
20190104,2.92
20190111,2.89
20190118,3.5
20190125,3.19
20190201,2.9
20190208,2.59
20190215,2.65
20190222,2.71
20190301,2.91
20190308,3.28
20190315,2.89
20190322,2.86
20190329,2.71
20190405,2.7
20190412,2.72
20190419,2.62
20190426,2.56
20190503,2.59
20190510,2.6
20190517,2.67
20190524,2.66
20190531,2.66
20190607,2.45
20190614,2.41
20190621,2.4
20190628,2.34
20190705,2.31
20190712,2.47
20190719,2.44
20190726,2.3
20190802,2.24
20190809,2.11
20190816,2.21
20190823,2.27
20190830,2.28
20190906,2.46
20190913,2.64
20190920,2.63
20190927,2.52
20191004,2.33
20191011,2.26
20191018,2.25
20191025,2.25
20191101,2.62
20191108,2.82
20191115,2.73
20191122,2.58
20191129,2.49
20191206,2.38
20191213,2.24
20191220,2.28
20191227,2.03
20200103,2.06
20200110,2.1
20200117,2.06
20200124,1.93
20200131,1.95
20200207,1.89
20200214,1.9
20200221,2.0
20200228,1.88
20200306,1.8
20200313,1.86
20200320,1.82
20200327,1.74
20200403,1.63
20200410,1.77
20200417,1.72
20200424,1.85
20200501,1.71
